country,year,import_in_tonnes,use_in_tonnes
Netherlands,2019,11708872000.0,7488000.0
Netherlands,2018,13046873000.0,18353000.0
Netherlands,2017,16060220000.0,24009000.0
Netherlands,2016,31645000000.0,24000000.0
Netherlands,2015,38631000000.0,29000000.0
Netherlands,2014,35081000000.0,40000000.0
Netherlands,2013,33938000000.0,31000000.0
Netherlands,2012,33209000000.0,27000000.0
Netherlands,2011,34240000000.0,39000000.0
Netherlands,2010,30362000000.0,58000000.0
Netherlands,2009,27993000000.0,78000000.0
Netherlands,2008,26012000000.0,77000000.0
Netherlands,2007,26334000000.0,74000000.0
Netherlands,2006,24005000000.0,75000000.0
Netherlands,2005,22400000000.0,70000000.0
Netherlands,2004,15455000000.0,73000000.0
Netherlands,2003,14090000000.0,78000000.0
Netherlands,2002,15570000000.0,72000000.0
Netherlands,2001,14709000000.0,116000000.0
Netherlands,2000,13084000000.0,123000000.0
Netherlands,1999,9459000000.0,139000000.0
Netherlands,1998,7010000000.0,141000000.0
Netherlands,1997,7936000000.0,159000000.0
Netherlands,1996,7379000000.0,194000000.0
Netherlands,1995,7805000000.0,198000000.0
Netherlands,1994,7951000000.0,217000000.0
Netherlands,1993,8465000000.0,256000000.0
Netherlands,1992,6804000000.0,288000000.0
Netherlands,1991,8546000000.0,313000000.0
Netherlands,1990,8686000000.0,305000000.0
Poland,2021,29849000.0,0.0
Poland,2020,30843000.0,69643000.0
Poland,2019,15723000.0,73989000.0
Poland,2018,48101000.0,80023000.0
Poland,2017,38082000.0,94812000.0
Poland,2016,47000000.0,93000000.0
Poland,2015,2000000.0,91000000.0
Poland,2014,72000000.0,112000000.0
Poland,2013,62000000.0,140000000.0
Poland,2012,61000000.0,182000000.0
Poland,2011,71000000.0,208000000.0
Poland,2010,86000000.0,198000000.0
Poland,2009,50000000.0,218000000.0
Poland,2008,33000000.0,237000000.0
Poland,2007,97000000.0,325000000.0
Poland,2006,83000000.0,403000000.0
Poland,2005,13000000.0,584000000.0
Poland,2004,84000000.0,653000000.0
Poland,2003,32000000.0,632000000.0
Poland,2002,127000000.0,597000000.0
Poland,2001,185000000.0,634000000.0
Poland,2000,113000000.0,802000000.0
Poland,1999,32000000.0,915000000.0
Poland,1998,136000000.0,995000000.0
Poland,1997,170000000.0,805000000.0
Poland,1996,0.0,642000000.0
Poland,1995,18000000.0,994000000.0
Poland,1994,11000000.0,937000000.0
Poland,1993,0.0,830000000.0
Poland,1992,1000000.0,502000000.0
Poland,1991,12000000.0,556000000.0
Poland,1990,101000000.0,741000000.0
Portugal,2021,157273000.0,14429000.0
Portugal,2020,257608999.99999997,151325000.0
Portugal,2019,188766000.0,169052000.0
Portugal,2018,175563000.0,194320000.0
Portugal,2017,158225000.0,198013000.0
Portugal,2016,223000000.0,233000000.0
Portugal,2015,273000000.0,209000000.0
Portugal,2014,239000000.0,165000000.0
Portugal,2013,177000000.0,220000000.0
Portugal,2012,233000000.0,267000000.0
Portugal,2011,381000000.0,316000000.0
Portugal,2010,264000000.0,417000000.0
Portugal,2009,435000000.0,480000000.0
Portugal,2008,574000000.0,633000000.0
Portugal,2007,461000000.0,775000000.0
Portugal,2006,571000000.0,703000000.0
Portugal,2005,1548000000.0,797000000.0
Portugal,2004,645000000.0,913000000.0
Portugal,2003,1010000000.0,1077000000.0
